Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,2,Graduate,Yes,12713,7582,193,360,0,Urban,Rejected
Female,Yes,1,Graduate,No,2760,2451,133,360,0,Rural,Rejected
Female,No,3+,Graduate,Yes,9704,6106,227,120,0,Semiurban,Rejected
Male,Yes,2,Not Graduate,No,1985,5194,189,300,1,Urban,Approved
Female,No,3+,Graduate,No,2904,6325,366,240,0,Rural,Rejected
Male,Yes,2,Graduate,No,13160,6421,374,180,1,Semiurban,Rejected
Female,Yes,0,Graduate,No,8786,2948,439,240,0,Urban,Rejected
Male,Yes,3+,Not Graduate,No,3192,215,95,240,0,Rural,Rejected
Female,No,0,Not Graduate,No,7853,6382,93,360,0,Rural,Rejected
Male,No,1,Graduate,No,6433,2198,302,180,0,Urban,Rejected
Female,No,3+,Not Graduate,No,14323,630,234,240,0,Rural,Rejected
Female,Yes,3+,Graduate,Yes,6491,55,252,240,1,Semiurban,Approved
Female,No,3+,Graduate,No,6753,4941,405,180,1,Semiurban,Rejected
Male,No,2,Not Graduate,No,10935,6405,174,240,1,Semiurban,Approved
Female,No,0,Graduate,Yes,12669,6288,331,120,1,Rural,Approved
Male,No,2,Graduate,No,12526,4090,121,240,0,Semiurban,Rejected
Male,No,3+,Graduate,No,11296,3925,348,300,1,Rural,Approved
Male,No,0,Graduate,Yes,12274,5445,231,180,0,Rural,Rejected
Female,No,3+,Graduate,Yes,3115,2119,163,360,0,Semiurban,Rejected
Female,No,3+,Graduate,No,1902,3954,103,240,1,Urban,Approved
Male,Yes,2,Not Graduate,No,8960,6424,155,360,1,Semiurban,Approved
Female,Yes,3+,Not Graduate,No,2600,2459,72,120,0,Semiurban,Rejected
Male,Yes,1,Graduate,Yes,6922,4586,268,300,0,Semiurban,Rejected
Male,Yes,3+,Not Graduate,Yes,13581,5030,151,300,1,Semiurban,Approved
Male,Yes,1,Not Graduate,Yes,10959,833,459,360,0,Semiurban,Rejected
Female,Yes,3+,Graduate,No,12488,7066,300,360,1,Rural,Approved
Female,No,0,Not Graduate,No,9001,5057,138,240,0,Rural,Rejected
Male,No,0,Graduate,No,3416,1499,241,180,1,Semiurban,Approved
Male,No,3+,Graduate,No,11912,4402,405,180,0,Semiurban,Rejected
Female,Yes,1,Not Graduate,No,11648,439,493,240,0,Semiurban,Rejected
Male,Yes,3+,Not Graduate,No,12718,4028,262,300,1,Urban,Approved
Male,Yes,1,Not Graduate,Yes,6003,1841,325,240,0,Semiurban,Rejected
Female,Yes,0,Not Graduate,No,10380,6738,437,120,1,Rural,Rejected
Male,No,0,Graduate,No,2028,3684,184,240,0,Semiurban,Rejected
Male,Yes,1,Not Graduate,No,4219,5047,121,180,0,Urban,Rejected
Female,No,1,Not Graduate,No,6240,4691,186,360,0,Urban,Rejected
Female,Yes,2,Graduate,Yes,5590,1198,414,240,0,Rural,Rejected
Female,No,1,Not Graduate,No,7646,3702,88,120,1,Rural,Approved
Female,No,3+,Not Graduate,No,11034,20,494,120,1,Rural,Rejected
Female,Yes,3+,Graduate,No,4970,4052,187,240,1,Semiurban,Approved
Male,No,2,Graduate,Yes,3131,5129,451,300,0,Urban,Rejected
Male,No,3+,Graduate,No,4814,5640,117,240,0,Semiurban,Rejected
Male,No,2,Graduate,No,12387,7403,382,180,0,Semiurban,Rejected
Female,Yes,3+,Graduate,Yes,1517,1748,294,120,0,Rural,Rejected
Male,No,0,Graduate,No,14887,987,490,300,0,Semiurban,Rejected
Male,Yes,3+,Graduate,Yes,3190,2566,238,240,0,Semiurban,Rejected
Male,Yes,0,Graduate,Yes,8710,2876,419,180,0,Semiurban,Rejected
Female,Yes,0,Graduate,Yes,13828,1008,351,300,1,Semiurban,Rejected
Female,Yes,1,Not Graduate,Yes,5565,4533,357,360,1,Rural,Rejected
Male,No,1,Graduate,No,6342,5293,77,180,1,Semiurban,Approved
Male,Yes,3+,Graduate,Yes,7416,7650,212,180,1,Rural,Approved
Female,No,1,Not Graduate,Yes,1773,4811,84,120,1,Urban,Approved
Male,Yes,3+,Not Graduate,No,8439,5749,255,120,0,Semiurban,Rejected
Male,No,0,Graduate,Yes,10288,2676,250,360,0,Semiurban,Rejected
Female,Yes,0,Graduate,Yes,8618,950,282,360,0,Semiurban,Rejected
Male,Yes,0,Graduate,Yes,4184,4066,227,360,1,Urban,Approved
Female,Yes,2,Graduate,Yes,6988,6611,269,240,0,Semiurban,Rejected
Male,No,3+,Not Graduate,Yes,9685,7039,340,180,1,Urban,Approved
Female,Yes,0,Graduate,Yes,2221,7034,491,120,0,Urban,Rejected
Female,No,3+,Graduate,Yes,2079,4529,461,300,0,Semiurban,Rejected
Male,No,2,Not Graduate,Yes,10864,3054,111,360,0,Urban,Rejected
Male,Yes,3+,Graduate,No,6125,6336,482,240,1,Urban,Rejected
Female,Yes,2,Graduate,No,10737,6426,205,360,0,Semiurban,Rejected
Female,No,1,Graduate,Yes,1604,7638,259,120,0,Rural,Rejected
Female,Yes,2,Graduate,No,13592,5957,207,120,0,Rural,Rejected
Male,No,3+,Graduate,Yes,13159,2292,97,120,0,Rural,Rejected
Female,No,3+,Graduate,Yes,9780,1093,376,300,0,Rural,Rejected
Male,No,1,Graduate,No,5776,6970,211,300,1,Semiurban,Approved
Female,No,1,Graduate,Yes,3730,6389,444,360,0,Urban,Rejected
Male,Yes,3+,Not Graduate,No,8160,989,324,240,0,Semiurban,Rejected
Female,No,2,Graduate,Yes,4082,6615,401,240,0,Urban,Rejected
Female,Yes,0,Graduate,No,7992,4206,75,240,1,Urban,Approved
Male,No,3+,Graduate,Yes,9070,834,461,180,0,Urban,Rejected
Male,Yes,1,Graduate,No,7598,5622,372,120,1,Urban,Rejected
Male,Yes,1,Not Graduate,Yes,3006,7414,483,240,0,Urban,Rejected
Female,Yes,1,Not Graduate,No,9628,241,245,300,0,Semiurban,Rejected
Male,Yes,2,Not Graduate,No,3935,283,364,360,0,Rural,Rejected
Female,No,3+,Not Graduate,Yes,2937,2291,246,180,1,Urban,Approved
Male,Yes,3+,Not Graduate,No,10421,6401,298,240,1,Semiurban,Approved
Female,Yes,0,Not Graduate,Yes,1980,7338,465,240,0,Semiurban,Rejected
Female,Yes,1,Graduate,Yes,12262,1975,186,360,0,Urban,Rejected
Female,No,1,Graduate,Yes,11207,2605,462,240,0,Rural,Rejected
Female,Yes,1,Not Graduate,No,4376,4017,69,120,0,Urban,Rejected
Male,Yes,3+,Graduate,No,11561,1650,462,180,1,Rural,Rejected
Male,No,0,Graduate,Yes,11111,5772,122,120,1,Urban,Approved
Female,No,0,Not Graduate,No,6785,1117,130,300,1,Rural,Approved
Female,Yes,2,Graduate,Yes,7699,2513,425,240,0,Urban,Rejected
Male,No,0,Graduate,No,14751,7926,363,180,0,Semiurban,Rejected
Male,No,0,Graduate,No,6734,1375,375,120,1,Semiurban,Rejected
Male,No,1,Graduate,Yes,7242,2102,452,120,0,Urban,Rejected
Female,No,3+,Graduate,No,9578,7223,243,240,1,Urban,Approved
Female,Yes,1,Not Graduate,Yes,14594,6928,67,240,0,Semiurban,Rejected
Female,Yes,0,Not Graduate,Yes,7651,1318,424,120,0,Semiurban,Rejected
Female,Yes,3+,Graduate,No,4073,438,101,240,0,Urban,Rejected
Female,No,2,Not Graduate,Yes,3071,406,251,360,1,Urban,Rejected
Male,No,0,Not Graduate,Yes,6325,6749,388,360,1,Urban,Rejected
Male,Yes,1,Graduate,No,2842,3879,482,120,1,Semiurban,Rejected
Female,No,2,Graduate,No,4529,3039,245,240,0,Semiurban,Rejected
Male,No,3+,Not Graduate,No,5206,6857,187,360,0,Urban,Rejected
Male,Yes,2,Not Graduate,Yes,10570,499,480,300,1,Rural,Rejected
Female,Yes,3+,Not Graduate,Yes,7968,7395,487,120,0,Urban,Rejected
Female,Yes,1,Graduate,Yes,3567,349,266,120,1,Urban,Rejected
Male,No,2,Graduate,Yes,7858,4557,253,360,1,Semiurban,Approved
Female,Yes,3+,Graduate,No,3951,1214,340,360,0,Urban,Rejected
Male,No,2,Not Graduate,No,7775,5364,298,360,1,Urban,Approved
Male,No,3+,Graduate,No,2135,3242,500,240,0,Urban,Rejected
Female,No,2,Graduate,No,14892,6501,205,240,1,Semiurban,Approved
Male,Yes,1,Not Graduate,No,14181,6765,214,240,1,Rural,Approved
Male,Yes,3+,Graduate,No,13639,3968,438,360,1,Urban,Rejected
Male,Yes,2,Not Graduate,Yes,14287,6973,318,360,0,Urban,Rejected
Male,Yes,0,Graduate,Yes,8978,414,234,180,1,Semiurban,Approved
Female,No,0,Graduate,Yes,7602,4004,354,300,0,Semiurban,Rejected
Female,No,1,Not Graduate,Yes,6170,224,247,120,0,Rural,Rejected
Male,Yes,1,Graduate,No,12175,3354,312,120,0,Semiurban,Rejected
Male,Yes,0,Graduate,No,11467,6595,206,240,1,Semiurban,Approved
Female,No,2,Graduate,No,6450,5547,316,360,1,Rural,Approved
Male,Yes,2,Not Graduate,No,12713,885,296,120,1,Semiurban,Approved
Female,No,2,Not Graduate,Yes,3956,4237,441,180,0,Rural,Rejected
Female,No,1,Graduate,No,6343,2125,264,300,1,Rural,Approved
Male,Yes,2,Graduate,No,12507,2936,309,240,0,Rural,Rejected
Male,No,0,Not Graduate,Yes,13639,2118,421,360,0,Rural,Rejected
